gym_id,team_id,guard_pokemon_id,slots_available,enabled,latitude,longitude,total_cp,last_modified,last_scanned
0286ca0efb62481780795316aa2f0e43.16,3,306,3,1,-31.746812,-52.394044,2945,"2018-02-18 12:23:05","2018-02-18 14:01:35"
0471fd54e26349cbb805a9e7ff4772b8.16,2,112,4,1,-31.755717,-52.359407,2477,"2018-02-18 10:35:33","2018-02-18 14:02:23"
0c6793e0753d4a91b4c5b5918d8a743f.11,1,334,0,1,-31.752716,-52.335555,3219,"2018-02-18 11:23:55","2018-02-18 13:59:40"
0fb1453c310f4595a7e79368dc0da069.16,2,209,0,1,-31.725761,-52.34285,3468,"2018-02-18 13:58:11","2018-02-18 14:02:37"
1082da773a3f4d30b5de4ded03d55422.16,1,130,2,1,-31.755462,-52.22766,3039,"2018-02-18 12:48:12","2018-02-18 14:01:39"
1c440df2f085444caa360d06a63e49a0.16,3,149,5,1,-31.73615,-52.217232,2766,"2018-02-18 13:45:45","2018-02-18 13:53:39"
2339f669b7b14ea9800b9df89eb46694.16,2,323,4,1,-31.761557,-52.336951,4553,"2018-02-18 12:06:58","2018-02-18 14:02:30"
241618fc3fd847eab588c938b9b03f25.16,3,248,4,1,-31.775375,-52.342116,5286,"2018-02-18 13:27:23","2018-02-18 14:02:35"
255644e5b50a42eca13c77250436029f.16,3,310,2,1,-31.747722,-52.388811,2603,"2018-02-18 08:03:34","2018-02-18 14:02:16"
2c36739bd6be4effb2d28dcf1da246cc.16,1,134,1,1,-31.773938,-52.341724,3022,"2018-02-18 13:31:45","2018-02-18 14:02:35"
2ec6849344d94a348d35933db85fccc9.16,1,113,3,1,-31.716684,-52.353969,3459,"2018-02-18 10:06:07","2018-02-18 14:02:24"
2f60c7bc597643e08041dabecc4a16a2.16,1,242,3,1,-31.766284,-52.351779,7574,"2018-02-18 13:49:44","2018-02-18 14:02:13"
33fc9aa44c844314a85d60df2a1194d8.16,1,130,0,1,-31.780457,-52.317964,3939,"2018-02-18 09:10:52","2018-02-18 13:57:49"
355fa2dfe4274ca68cb8a8822aaac1a8.16,1,209,0,1,-31.755471,-52.319397,5141,"2018-02-18 13:52:29","2018-02-18 14:02:35"
38f2d91409bd4d01a2eb458673dcefe9.16,3,134,3,1,-31.77473,-52.353131,5215,"2018-02-18 13:52:47","2018-02-18 14:02:35"
3e7231af60ba4ba29a675c055406b46b.16,1,130,0,1,-31.766191,-52.345637,4291,"2018-02-18 13:28:22","2018-02-18 14:02:36"
40ac99e1bc6a420dbaf6722b2608dba5.16,1,134,0,1,-31.752939,-52.242399,4113,"2018-02-18 13:23:14","2018-02-18 14:01:01"
4175c939c96a46d8b326d7634292a226.16,1,112,0,1,-31.765834,-52.34602,3443,"2018-02-18 12:41:55","2018-02-18 14:02:36"
49096f45a26e4e53938248cf6c37ad03.16,1,19,0,1,-31.751961,-52.383378,2544,"2018-02-18 11:48:20","2018-02-18 14:02:17"
52732cd64bf04752b8fee93c3b7e5a13.16,3,49,5,1,-31.719521,-52.34773,642,"2018-02-18 08:06:20","2018-02-18 14:01:31"
52ac1cf211b24288addcde1a5f60897c.16,1,306,2,1,-31.77,-52.342085,6007,"2018-02-18 13:46:27","2018-02-18 14:02:36"
56655857450a468ca7875eb35ac86ee2.16,0,0,6,1,-31.765994,-52.345289,0,"2018-02-18 13:31:57","2018-02-18 14:02:36"
60e877cc2e2147b4be49f6e12478df3c.16,2,282,4,1,-31.770725,-52.342845,4091,"2018-02-18 13:26:45","2018-02-18 14:02:36"
72985951ba674deba9326ab9eda56760.16,1,278,0,1,-31.744982,-52.294506,3474,"2018-02-18 11:36:35","2018-02-18 13:51:05"
828db0e5a523405987aa8d6c4c247e0d.16,1,113,3,1,-31.720644,-52.35311,3439,"2018-02-18 09:45:02","2018-02-18 14:02:19"
8c2b38834cab46829b30c374a653eddc.16,2,134,2,1,-31.763889,-52.338142,6128,"2018-02-18 13:29:49","2018-02-18 14:02:36"
940fb99da7db4023bcbe9d98b2ff98cd.16,1,149,0,1,-31.747716,-52.292322,11521,"2018-02-18 12:18:32","2018-02-18 13:52:08"
a418d8928bc942658c287c47a125adcf.16,1,217,4,1,-31.722343,-52.351434,1196,"2018-02-18 13:31:43","2018-02-18 14:01:41"
a95b698c72ec494e86b2cb8ebdcbf0c5.16,3,130,0,1,-31.776712,-52.338761,12334,"2018-02-18 13:19:13","2018-02-18 14:02:31"
adcc7f12b03445a9b3e10a01ca7e4ded.16,1,3,0,1,-31.757242,-52.380196,3744,"2018-02-18 13:56:45","2018-02-18 14:01:55"
b0bc2da4492948e9a63b374841c94882.11,3,76,1,1,-31.759439,-52.338414,6618,"2018-02-18 13:35:14","2018-02-18 14:02:21"
b80bbf223db04faa8b0122c45683942c.16,2,2,4,1,-31.768549,-52.338229,2998,"2018-02-18 13:28:43","2018-02-18 14:02:36"
cbad102126ca4a88aa7f9aa5bec84cbb.16,1,214,0,1,-31.75818,-52.367574,3557,"2018-02-18 13:29:14","2018-02-18 14:02:30"
d32a4483829c46bfabe6c32e6993f3ae.16,2,289,0,1,-31.734095,-52.344594,5112,"2018-02-18 12:39:28","2018-02-18 14:02:37"
d7c4c6813ad5494d823bba29bc3bae80.16,3,149,4,1,-31.764612,-52.227663,4621,"2018-02-18 13:59:01","2018-02-18 14:02:37"
df179b66e3444d18ae16783a1c377acb.16,2,112,2,1,-31.754634,-52.31826,3897,"2018-02-18 12:58:37","2018-02-18 14:02:35"
e50a42dcb9084addbdcb9a50b2fdad09.16,1,143,2,1,-31.74119,-52.386915,1441,"2018-02-18 13:13:47","2018-02-18 13:56:39"
eef58c8b131e4e0b842611a1850e63dc.16,3,336,5,1,-31.741878,-52.388808,721,"2018-02-18 11:29:51","2018-02-18 13:57:15"
fa2de6cfbf9848c3a10469df48636f4d.16,2,242,5,1,-31.696073,-52.339729,1591,"2018-02-18 13:34:57","2018-02-18 13:53:55"
