Gym,Rotacao
Centro de Treinamento Público,3
Igreja Sao Francisco De Assis,3
Dr Nunes Vieira,3
Terminal Rodoviário de Pelotas,2
Castelo Simões Lopes,2
Igreja Evangélica Da Mensagem,4
Igreja De Jesus Cristo,4
Clube Esportivo Sousa,2
Caixa D'água da Gotuzzo,2
Praça Stonehenge I,1
Igreja Luterana Comunidade Emanuel,1
Formiga Da Churrascaria Lobão,4
Velas ao Vento,3
Gruta Da Baronesa,3
Comunidade Catolica Nossa Sra. De Lourdes,5
Igreja Santo Antônio,2
Portal da Academia de Letras,3
Sociedade Recreativa 15 De Julho,2
Pracinha Alfredo Pujol,4
Caixa D'agua da Praça,2
Grafite Engenho Sao Paulo,3
Mercado Público,4
Centro Comunitário,1
Graffiti Do Trem,3
Monumento Cacimba Da Nação,1
Igreja Mistérios Da Fé,1
Caixa d'Água Brilhante,4
Igreja Dos Santos Dos Últimos Dias,5
Igreja do Porto,3
Colégio São José,4
Monumento a Joao Da Silva Silveira,3
Graffiti,7
Arte de Rua Paisagem Submarina,6
Bibliotheca Pública Pelotense,4
Catedral Sao Francisco De Paula,4
Igreja O Brasil Para Cristo,1
Gruta À Nossa Mãe Iemanja,1
Torre Do Relógio Ifsul Pelotas,4
Igreja Do Senhor,2
